"Employed people, Australia, August 1966 to July 2025, Seasonally adjusted"
,"Persons ('000)","Males ('000)","Females ('000)"
"Apr-19","12,785.6","6,759.6","6,026.1"
"May-19","12,792.4","6,800.0","5,992.5"
"Jun-19","12,806.3","6,797.2","6,009.1"
"Jul-19","12,832.1","6,803.2","6,028.9"
"Aug-19","12,882.9","6,815.8","6,067.0"
"Sep-19","12,902.2","6,802.5","6,099.6"
"Oct-19","12,853.3","6,770.1","6,083.2"
"Nov-19","12,874.5","6,778.7","6,095.8"
"Dec-19","12,928.3","6,805.5","6,122.8"
"Jan-20","12,928.2","6,783.0","6,145.2"
"Feb-20","12,936.9","6,798.3","6,138.6"
"Mar-20","12,926.7","6,799.9","6,126.8"
"Apr-20","12,346.6","6,535.3","5,811.3"
"May-20","12,051.1","6,411.2","5,639.9"
"Jun-20","12,282.4","6,502.2","5,780.2"
"Jul-20","12,411.9","6,564.9","5,846.9"
"Aug-20","12,551.1","6,611.2","5,939.9"
"Sep-20","12,517.9","6,586.2","5,931.7"
"Oct-20","12,658.4","6,685.7","5,972.7"
"Nov-20","12,743.1","6,722.1","6,021.0"
"Dec-20","12,802.3","6,741.2","6,061.1"
"Jan-21","12,841.5","6,784.2","6,057.3"
"Feb-21","12,889.3","6,768.4","6,120.9"
"Mar-21","12,956.0","6,789.9","6,166.0"
"Apr-21","12,947.3","6,804.8","6,142.5"
"May-21","13,035.8","6,832.2","6,203.6"
"Jun-21","13,063.7","6,865.2","6,198.6"
"Jul-21","13,081.1","6,888.2","6,193.0"
"Aug-21","12,949.8","6,814.0","6,135.8"
"Sep-21","12,824.1","6,766.5","6,057.6"
"Oct-21","12,779.7","6,755.7","6,023.9"
"Nov-21","13,144.9","6,889.1","6,255.9"
"Dec-21","13,224.3","6,940.8","6,283.5"
"Jan-22","13,299.5","6,937.7","6,361.8"
"Feb-22","13,357.7","6,971.6","6,386.1"
"Mar-22","13,393.3","6,993.3","6,400.0"
"Apr-22","13,447.2","7,027.2","6,420.0"
"May-22","13,482.6","7,064.1","6,418.5"
"Jun-22","13,589.4","7,098.9","6,490.5"
"Jul-22","13,591.2","7,101.8","6,489.4"
"Aug-22","13,661.6","7,137.3","6,524.3"
"Sep-22","13,669.5","7,158.4","6,511.1"
"Oct-22","13,715.0","7,185.2","6,529.9"
"Nov-22","13,781.8","7,197.4","6,584.4"
"Dec-22","13,762.3","7,200.1","6,562.2"
"Jan-23","13,794.9","7,221.7","6,573.1"
"Feb-23","13,832.8","7,244.2","6,588.6"
"Mar-23","13,936.3","7,276.3","6,660.1"
"Apr-23","13,922.6","7,267.4","6,655.2"
"May-23","14,009.4","7,319.1","6,690.4"
"Jun-23","14,036.9","7,333.7","6,703.2"
"Jul-23","14,027.4","7,346.7","6,680.6"
"Aug-23","14,095.7","7,374.9","6,720.8"
"Sep-23","14,091.0","7,348.7","6,742.3"
"Oct-23","14,153.1","7,370.7","6,782.4"
"Nov-23","14,199.7","7,399.2","6,800.5"
"Dec-23","14,131.8","7,369.3","6,762.5"
"Jan-24","14,124.2","7,364.3","6,759.9"
"Feb-24","14,248.5","7,424.9","6,823.6"
"Mar-24","14,235.9","7,436.5","6,799.4"
"Apr-24","14,254.7","7,431.0","6,823.7"
"May-24","14,287.2","7,467.9","6,819.2"
"Jun-24","14,330.8","7,482.4","6,848.3"
"Jul-24","14,377.7","7,489.5","6,888.2"
"Aug-24","14,405.1","7,509.3","6,895.8"
"Sep-24","14,448.0","7,548.8","6,899.3"
"Oct-24","14,449.8","7,553.1","6,896.7"
"Nov-24","14,468.8","7,549.9","6,918.8"
"Dec-24","14,528.1","7,600.7","6,927.3"
"Jan-25","14,561.5","7,586.7","6,974.8"
"Feb-25","14,506.7","7,555.6","6,951.1"
"Mar-25","14,532.3","7,583.8","6,948.5"
"Apr-25","14,618.8","7,599.5","7,019.3"
"May-25","14,615.9","7,582.5","7,033.4"
"Jun-25","14,616.9","7,597.5","7,019.4"
"Jul-25","14,641.4","7,587.4","7,054.0"

"February 1978 to July 2025 estimated monthly, before February 1978 estimated quarterly"
"Source: 6204.0.55.001 Labour Force Historical Timeseries, Australia, 1966-1984, Seasonally adjusted estimates of the labour force by sex and marital status - 1966-1977 and 6202.0 Labour Force, Australia, Table 1"

"Source: Australian Bureau of Statistics, Labour Force, Australia July 2025"
